code,CCS,coding_system
0TPD72Z,109,ICDPROC10
0TPD73Z,109,ICDPROC10
0TPD77Z,109,ICDPROC10
0TPD7CZ,109,ICDPROC10
0TPD7DZ,109,ICDPROC10
0TPD7JZ,109,ICDPROC10
0TPD7KZ,109,ICDPROC10
0TPD7LZ,109,ICDPROC10
0TPD80Z,109,ICDPROC10
0TPD82Z,109,ICDPROC10
0TPD83Z,109,ICDPROC10
0TPD87Z,109,ICDPROC10
0TPD8CZ,109,ICDPROC10
0TPD8DZ,109,ICDPROC10
0TPD8JZ,109,ICDPROC10
0TPD8KZ,109,ICDPROC10
0TPD8LZ,109,ICDPROC10
0TPDX0Z,109,ICDPROC10
0TPDX2Z,109,ICDPROC10
0TPDX3Z,109,ICDPROC10
0TPDXDZ,109,ICDPROC10
0TPDXLZ,109,ICDPROC10
0TQD0ZZ,109,ICDPROC10
0TQD3ZZ,109,ICDPROC10
0TQD4ZZ,109,ICDPROC10
0TQD7ZZ,109,ICDPROC10
0TQD8ZZ,109,ICDPROC10
0TQDXZZ,109,ICDPROC10
0TRD07Z,109,ICDPROC10
0TRD0JZ,109,ICDPROC10
0TRD0KZ,109,ICDPROC10
0TRD47Z,109,ICDPROC10
0TRD4JZ,109,ICDPROC10
0TRD4KZ,109,ICDPROC10
0TRD77Z,109,ICDPROC10
0TRD7JZ,109,ICDPROC10
0TRD7KZ,109,ICDPROC10
0TRD87Z,109,ICDPROC10
0TRD8JZ,109,ICDPROC10
0TRD8KZ,109,ICDPROC10
0TRDX7Z,109,ICDPROC10
